INFO:root:Start Supervised training for 100 epochs.
INFO:root:Disable gpu: False.
DEBUG:root:Epoch: 0	Loss: 4.951294898986816	Top1 accuracy: 2.5390625
DEBUG:root:Epoch: 1	Loss: 4.714291572570801	Top1 accuracy: 3.90625
DEBUG:root:Epoch: 2	Loss: 4.395533084869385	Top1 accuracy: 8.203125
DEBUG:root:Epoch: 3	Loss: 4.294936180114746	Top1 accuracy: 10.7421875
DEBUG:root:Epoch: 4	Loss: 4.218140602111816	Top1 accuracy: 12.6953125
DEBUG:root:Epoch: 5	Loss: 3.9301764965057373	Top1 accuracy: 13.4765625
DEBUG:root:Epoch: 6	Loss: 4.047787666320801	Top1 accuracy: 15.8203125
DEBUG:root:Epoch: 7	Loss: 3.856841564178467	Top1 accuracy: 16.2109375
DEBUG:root:Epoch: 8	Loss: 3.7964930534362793	Top1 accuracy: 16.9921875
DEBUG:root:Epoch: 9	Loss: 3.7419562339782715	Top1 accuracy: 20.8984375
DEBUG:root:Epoch: 10	Loss: 3.6510798931121826	Top1 accuracy: 24.21875
DEBUG:root:Epoch: 11	Loss: 3.617713451385498	Top1 accuracy: 20.703125
DEBUG:root:Epoch: 12	Loss: 3.4855220317840576	Top1 accuracy: 22.0703125
DEBUG:root:Epoch: 13	Loss: 3.568392753601074	Top1 accuracy: 24.609375
DEBUG:root:Epoch: 14	Loss: 3.3313324451446533	Top1 accuracy: 21.2890625
DEBUG:root:Epoch: 15	Loss: 3.389437437057495	Top1 accuracy: 21.09375
DEBUG:root:Epoch: 16	Loss: 3.3345096111297607	Top1 accuracy: 24.8046875
DEBUG:root:Epoch: 17	Loss: 3.402811050415039	Top1 accuracy: 29.6875
DEBUG:root:Epoch: 18	Loss: 3.3361053466796875	Top1 accuracy: 31.640625
DEBUG:root:Epoch: 19	Loss: 3.435497522354126	Top1 accuracy: 24.21875
DEBUG:root:Epoch: 20	Loss: 3.2100822925567627	Top1 accuracy: 29.4921875
DEBUG:root:Epoch: 21	Loss: 3.074362277984619	Top1 accuracy: 31.8359375
DEBUG:root:Epoch: 22	Loss: 3.2284419536590576	Top1 accuracy: 29.8828125
DEBUG:root:Epoch: 23	Loss: 3.1564977169036865	Top1 accuracy: 30.6640625
DEBUG:root:Epoch: 24	Loss: 3.0431020259857178	Top1 accuracy: 30.078125
DEBUG:root:Epoch: 25	Loss: 3.1054301261901855	Top1 accuracy: 32.8125
DEBUG:root:Epoch: 26	Loss: 3.0502445697784424	Top1 accuracy: 29.4921875
DEBUG:root:Epoch: 27	Loss: 2.906160831451416	Top1 accuracy: 29.8828125
DEBUG:root:Epoch: 28	Loss: 2.9927146434783936	Top1 accuracy: 30.2734375
DEBUG:root:Epoch: 29	Loss: 2.99731183052063	Top1 accuracy: 32.421875
DEBUG:root:Epoch: 30	Loss: 2.8865139484405518	Top1 accuracy: 33.203125
DEBUG:root:Epoch: 31	Loss: 2.9744207859039307	Top1 accuracy: 34.765625
DEBUG:root:Epoch: 32	Loss: 2.909400224685669	Top1 accuracy: 32.8125
DEBUG:root:Epoch: 33	Loss: 2.9231064319610596	Top1 accuracy: 34.9609375
