INFO:root:Start SimCLR training for 100 epochs.
INFO:root:Disable gpu: False.
DEBUG:root:Epoch: 0	Loss: 5.361437797546387	Top1 accuracy: 6.4453125
DEBUG:root:Epoch: 1	Loss: 4.039844512939453	Top1 accuracy: 22.65625
DEBUG:root:Epoch: 2	Loss: 3.4783647060394287	Top1 accuracy: 39.453125
DEBUG:root:Epoch: 3	Loss: 3.0380594730377197	Top1 accuracy: 43.9453125
DEBUG:root:Epoch: 4	Loss: 2.7842085361480713	Top1 accuracy: 50.390625
DEBUG:root:Epoch: 5	Loss: 2.9939727783203125	Top1 accuracy: 52.05078125
DEBUG:root:Epoch: 6	Loss: 2.785737991333008	Top1 accuracy: 54.1015625
DEBUG:root:Epoch: 7	Loss: 2.5385632514953613	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 8	Loss: 2.493262767791748	Top1 accuracy: 59.08203125
DEBUG:root:Epoch: 9	Loss: 2.292795181274414	Top1 accuracy: 57.91015625
DEBUG:root:Epoch: 10	Loss: 2.4945547580718994	Top1 accuracy: 62.6953125
DEBUG:root:Epoch: 11	Loss: 2.1729953289031982	Top1 accuracy: 65.0390625
DEBUG:root:Epoch: 12	Loss: 2.232069969177246	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 13	Loss: 2.0895087718963623	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 14	Loss: 2.122769355773926	Top1 accuracy: 63.96484375
DEBUG:root:Epoch: 15	Loss: 1.9202755689620972	Top1 accuracy: 66.796875
DEBUG:root:Epoch: 16	Loss: 1.8408010005950928	Top1 accuracy: 64.2578125
DEBUG:root:Epoch: 17	Loss: 2.0939838886260986	Top1 accuracy: 67.28515625
DEBUG:root:Epoch: 18	Loss: 1.9474549293518066	Top1 accuracy: 67.96875
DEBUG:root:Epoch: 19	Loss: 1.9999973773956299	Top1 accuracy: 69.04296875
DEBUG:root:Epoch: 20	Loss: 1.8236273527145386	Top1 accuracy: 67.28515625
DEBUG:root:Epoch: 21	Loss: 1.8264379501342773	Top1 accuracy: 67.08984375
DEBUG:root:Epoch: 22	Loss: 1.8715953826904297	Top1 accuracy: 70.99609375
DEBUG:root:Epoch: 23	Loss: 2.0031700134277344	Top1 accuracy: 66.89453125
DEBUG:root:Epoch: 24	Loss: 1.8662339448928833	Top1 accuracy: 72.8515625
DEBUG:root:Epoch: 25	Loss: 1.9862258434295654	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 26	Loss: 1.6443384885787964	Top1 accuracy: 69.43359375
DEBUG:root:Epoch: 27	Loss: 1.7045716047286987	Top1 accuracy: 71.19140625
DEBUG:root:Epoch: 28	Loss: 1.6450003385543823	Top1 accuracy: 69.7265625
DEBUG:root:Epoch: 29	Loss: 1.5263168811798096	Top1 accuracy: 68.359375
DEBUG:root:Epoch: 30	Loss: 1.6954158544540405	Top1 accuracy: 71.484375
DEBUG:root:Epoch: 31	Loss: 1.5777926445007324	Top1 accuracy: 71.6796875
DEBUG:root:Epoch: 32	Loss: 1.7535622119903564	Top1 accuracy: 72.36328125
DEBUG:root:Epoch: 33	Loss: 1.6276739835739136	Top1 accuracy: 68.359375
DEBUG:root:Epoch: 34	Loss: 1.7030431032180786	Top1 accuracy: 73.73046875
DEBUG:root:Epoch: 35	Loss: 1.546528697013855	Top1 accuracy: 71.58203125
DEBUG:root:Epoch: 36	Loss: 1.7217128276824951	Top1 accuracy: 73.14453125
DEBUG:root:Epoch: 37	Loss: 1.6930581331253052	Top1 accuracy: 70.5078125
DEBUG:root:Epoch: 38	Loss: 1.5206341743469238	Top1 accuracy: 76.26953125
DEBUG:root:Epoch: 39	Loss: 1.4933695793151855	Top1 accuracy: 74.609375
DEBUG:root:Epoch: 40	Loss: 1.4631139039993286	Top1 accuracy: 74.70703125
DEBUG:root:Epoch: 41	Loss: 1.3824753761291504	Top1 accuracy: 71.58203125
DEBUG:root:Epoch: 42	Loss: 1.5134155750274658	Top1 accuracy: 76.26953125
DEBUG:root:Epoch: 43	Loss: 1.4195884466171265	Top1 accuracy: 78.125
DEBUG:root:Epoch: 44	Loss: 1.4795829057693481	Top1 accuracy: 75.390625
DEBUG:root:Epoch: 45	Loss: 1.6427192687988281	Top1 accuracy: 73.6328125
DEBUG:root:Epoch: 46	Loss: 1.4772937297821045	Top1 accuracy: 74.12109375
DEBUG:root:Epoch: 47	Loss: 1.4667119979858398	Top1 accuracy: 74.0234375
DEBUG:root:Epoch: 48	Loss: 1.6212106943130493	Top1 accuracy: 75.09765625
DEBUG:root:Epoch: 49	Loss: 1.301396369934082	Top1 accuracy: 78.7109375
DEBUG:root:Epoch: 50	Loss: 1.2922782897949219	Top1 accuracy: 71.38671875
DEBUG:root:Epoch: 51	Loss: 1.4802863597869873	Top1 accuracy: 77.24609375
DEBUG:root:Epoch: 52	Loss: 1.385148525238037	Top1 accuracy: 77.24609375
DEBUG:root:Epoch: 53	Loss: 1.409663438796997	Top1 accuracy: 77.9296875
DEBUG:root:Epoch: 54	Loss: 1.3006181716918945	Top1 accuracy: 78.125
DEBUG:root:Epoch: 55	Loss: 1.3061105012893677	Top1 accuracy: 76.85546875
DEBUG:root:Epoch: 56	Loss: 1.3269327878952026	Top1 accuracy: 77.734375
DEBUG:root:Epoch: 57	Loss: 1.325448751449585	Top1 accuracy: 75.87890625
DEBUG:root:Epoch: 58	Loss: 1.2338740825653076	Top1 accuracy: 72.8515625
DEBUG:root:Epoch: 59	Loss: 1.1869693994522095	Top1 accuracy: 78.7109375
DEBUG:root:Epoch: 60	Loss: 1.3002262115478516	Top1 accuracy: 82.03125
DEBUG:root:Epoch: 61	Loss: 1.2317023277282715	Top1 accuracy: 77.24609375
DEBUG:root:Epoch: 62	Loss: 1.432358980178833	Top1 accuracy: 79.296875
DEBUG:root:Epoch: 63	Loss: 1.2470579147338867	Top1 accuracy: 77.63671875
DEBUG:root:Epoch: 64	Loss: 1.2679325342178345	Top1 accuracy: 82.421875
DEBUG:root:Epoch: 65	Loss: 1.3496171236038208	Top1 accuracy: 80.37109375
DEBUG:root:Epoch: 66	Loss: 1.135553240776062	Top1 accuracy: 79.58984375
